nthreads,energy,time,power,speedup
1,17471.8,159.881,109.28,1
2,9231.95,82.7857,111.516,1.93126
3,6045.8,53.6779,112.631,2.97853
4,4541.1,39.9396,113.699,4.00307
5,3794.6,33.0948,114.658,4.831
6,3189.25,27.4915,116.009,5.81565
7,2685.6,22.9778,116.878,6.95806
8,2453.75,20.7774,118.097,7.69495
9,2147.95,18.0388,119.074,8.86317
10,1988.05,16.5308,120.263,9.6717
11,1801.55,14.878,121.088,10.7461
12,1638.55,13.3837,122.429,11.9459
13,1526.2,12.3802,123.277,12.9143
14,1551.15,12.5519,123.579,12.7376
15,1355.25,10.7785,125.736,14.8333
16,1309.3,10.3961,125.941,15.3789
17,1206.7,9.50105,127.007,16.8277
18,1192.8,9.3417,127.686,17.1148
19,1094.05,8.49333,128.813,18.8243
20,1073.8,8.34634,128.655,19.1558
21,1000.95,7.70964,129.831,20.7378
22,971.9,7.4089,131.18,21.5796
23,931,7.07411,131.607,22.6009
24,884.95,6.75014,131.101,23.6856
25,854.4,6.47756,131.902,24.6823
26,859.2,6.45127,133.183,24.7829
27,822.05,6.03045,136.317,26.5123
28,793.85,5.77692,137.418,27.6758
29,772.65,5.64421,136.892,28.3266
30,757.8,5.5341,136.933,28.8902
31,731.7,5.37917,136.025,29.7222
32,699.05,5.087,137.419,31.4293
33,711.15,5.15262,138.017,31.0291
34,669.05,4.79268,139.598,33.3594
35,652.15,4.64557,140.381,34.4158
36,657.25,4.68422,140.312,34.1318
37,640.1,4.55112,140.647,35.13
38,613.25,4.32386,141.829,36.9765
39,599.95,4.19475,143.024,38.1145
40,598.35,4.13591,144.672,38.6568
41,598.15,4.10671,145.652,38.9317
42,591.95,4.03417,146.734,39.6317
43,573.35,3.83403,149.542,41.7005
44,553.45,3.74098,147.943,42.7377
45,557.05,3.78252,147.27,42.2684
46,537.2,3.65105,147.136,43.7904
47,515.35,3.49842,147.309,45.7009
48,511.45,3.45834,147.889,46.2306
49,503.1,3.35525,149.944,47.651
